solutionID                    DO0.pos_y                     DO1.pos_y                     DO1.velo                      DO1.acc                       obj                           fit_pena_a_max                fit_pena_curv_rate            fit_pena_max_latg             fit_pena_spd                  
39ad854c                      38.518542481832164            89.8015252759993              6.304084974639223             0.604607483195658             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
40402cf0                      38.518542481832164            89.80105051153019             5.669799943972247             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
27631cbc                      38.4310262546319              89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
e27dba5                       38.430740971231145            89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
494474a3                      38.43075498779433             89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
5bfc8c98                      38.518542481832164            89.80105051153019             5.683403483249811             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
301d0f2a                      38.36511995529659             89.15269083869963             6.134731669636135             0.6117444443178961            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
135d589b                      38.518542481832164            89.68210254074825             5.660100084047162             0.8950428769371173            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
1643a30d                      38.43126199127058             89.80105051153019             5.683403483249811             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
4898a92f                      38.518035478355905            89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
403d666b                      38.41288105329931             89.27115485034356             6.15200972451595              0.6379799135210018            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
7025c5a1                      38.518542481832164            89.80105051153019             5.669799943972247             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
73f7823e                      38.4310262546319              89.15269083869963             6.081323652677596             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
285fb738                      38.362821637797026            89.70027428618687             5.660100084047162             0.8950428769371173            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
4d4b0556                      38.52084079933172             89.13451909326102             6.134731669636135             0.6117444443178961            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
6112182                       38.518035478355905            89.15269083869963             6.1265106585184865            0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
ad62b29                       37.86344359464797             89.12927759150985             6.143684756617812             0.6312211168297734            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
