solutionID                    DO0.pos_y                     DO0.velo                      DO0.acc                       obj                           fit_pena_a_max                fit_pena_curv_rate            fit_pena_max_latg             fit_pena_spd                  
208a12d3                      236.65187409238445            10.469970629453815            0.1776584926837791            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
7ff7767b                      236.44986946420028            11.771608682219512            0.6480964070609462            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
17b421ab                      227.03784008690965            8.888889135834399             0.6083846306435734            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
766c7339                      246.62318429679627            13.907198931008214            0.4137340588700157            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
2a763315                      246.62318429679627            13.907198931008214            0.4137340588700157            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
2e9e716c                      227.03784008690965            8.888889135834399             0.6083846306435734            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
59218070                      240.09830648270128            11.04087719379723             0.4605904805514968            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
21e64d26                      236.4570360808476             10.400090892461263            0.1717466114750448            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
7dd7c03c                      236.64470747573714            11.841488419212059            0.6540083886995214            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
7c8afd32                      246.55665024706863            13.907198931008214            0.43129320109981617           2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
238788cb                      236.4822246687284             11.864079942924542            0.5849555645443575            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
5bc375cb                      234.5603947830072             9.058563524407663             0.6421230339309318            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
4c8eed06                      246.2609587982337             12.686379211819576            0.5123945283156621            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
34b7ed98                      246.7538481942797             13.19543473941943             0.8849224956546914            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
4b969d32                      234.5603947830072             9.058563524407663             0.6299926576632033            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
286a4c82                      236.4822246687284             11.864079942924542            0.5849555645443575            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
4fe593b9                      246.55665024706863            13.907198931008214            0.43129320109981617           2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
b24236b                       236.4822246687284             11.864079942924542            0.5849555645443575            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
497d44f2                      246.7538481942797             13.174748148972327            0.8849782873097095            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
6d1cff86                      246.2609587982337             12.686379211819576            0.5123385526097006            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
7c1734c4                      235.65939984902997            11.48924827948132             0.6361007847549894            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
3bc8db28                      246.62318429679627            13.907198931008214            0.45912353104398596           2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
47814797                      246.62318429679627            13.77517049527057             0.6090334725560494            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
22916dd6                      236.4822246687284             11.864079942924542            0.5849555645443575            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
75459124                      246.62318429679627            13.907198931008214            0.4137340588700157            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
1499dabf                      246.2609587982337             12.681238822473803            0.5263199159002283            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
1640a02d                      234.58079581654363            9.086202547494752             0.6299926576632033            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
1bba6de5                      236.4822246687284             11.864079942924542            0.5856268530040958            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
6d7dcca                       247.2031122348334             13.77517049527057             0.6127349951404076            2224001.0204081633            1000.5102040816327            1111000.0                     1000.5102040816327            1111000.0                     
