solutionID                    DO0.pos_y                     DO0.velo                      DO0.acc                       obj1                          obj2                          obj3                          obj4                          
ce1a08c                       259.2776965469296             13.302302884011642            0.9767674365783582            2006.8805326746199            4000                          2000.223075758966             2000.2164268268407            
637bcda                       258.5426347024958             12.59766165044586             0.9664482828685097            2007.6466899075876            4000                          2000.219650762709             2000.2135712115482            
202cb90c                      258.6923375616392             12.738613695208127            0.9579172216818422            2007.5093422822033            4000                          2000.219916543154             2000.2137623412725            
6dff8fd9                      248.42966380307135            13.987090429777133            0.847767623316008             3000.5968849671144            4000                          185.44807136788637            4000                          
4254bb22                      259.2776965469296             13.302302884011642            0.9767674365783582            2006.8805326746199            4000                          2000.223075758966             2000.2164268268407            
4e204e78                      248.42966380307135            13.987090429777133            0.847767623316008             3000.5968849671144            4000                          185.44807136788637            4000                          
1c57de9b                      269.75182295089496            8.212290156342968             0.022760531166962583          0.3376935190824341            0.3376935190824341            1000.3376935190824            4000                          
18f3b0cd                      258.7130705564353             12.738613695208127            0.9579172216818422            2007.521939503616             4000                          2000.2197738665482            2000.2136341997632            
6283f6b7                      259.2776965469296             13.40582362439979             0.9112968514971275            2006.867953106488             4000                          2000.2240994295796            2000.2173735631666            
6c5b77c1                      258.6923375616392             12.787388540283589            0.9579172216818422            2007.424411223849             4000                          2000.220412625493             2000.2141899059948            
6acda3b7                      248.42966380307135            13.987090429777133            0.847767623316008             3000.5968849671144            4000                          185.44807136788637            4000                          
481bf437                      258.5930426089961             12.5577123658067              0.9964027172589253            2007.6719558349942            4000                          2000.2189533444766            2000.2129285483484            
50a142a0                      248.32607924628988            13.995157281679937            0.847767623316008             3000.5927702831896            4000                          202.45111822063572            4000                          
647db2df                      257.748098530428              12.789546114343443            0.9775739502883107            2006.8570183492213            4000                          2000.2287925822177            2000.2217309409339            
32af26cd                      259.2776965469296             13.302302884011642            0.9767674365783582            2006.8805326746199            4000                          2000.223075758966             2000.2164268268407            
1b6b30f3                      258.59475711782756            12.5577123658067              0.9964027172589253            2007.67303378057              4000                          2000.2189425375022            2000.212918868172             
7cf1ba91                      248.5006830159864             13.924409191147525            0.9497310611774832            3000.591954451475             4000                          206.53859161187685            4000                          
7b14d6cb                      259.526183785591              13.302302884011642            0.9767674365783582            2007.0092674201292            4000                          2000.220692025174             2000.214266029464             
789b7658                      258.6923375616392             12.612573029171509            0.9765397831007491            2007.6869159910166            4000                          2000.218801154785             2000.212792121604             
49e41a69                      248.69921724136353            12.7546289888961              0.993756620330107             2962.7898957022026            4000                          301.0058440444432             4000                          
2ea5615e                      248.75188075034734            13.924409191147525            0.9767674365783582            3000.5966081751412            4000                          186.43403569983698            4000                          
3e256f6                       259.2776965469296             13.338520554107221            0.9112968514971275            2006.9680870244727            4000                          2000.222871725657             2000.2162784762               
7d2f13b8                      258.6923375616392             12.787388540283589            0.9579172216818422            2007.424411223849             4000                          2000.220412625493             2000.2141899059948            
