solutionID                    DO0.pos_x                     DO0.pos_y                     DO0.velo                      DO0.acc                       obj                           fit_pena_a_max                fit_pena_curv_rate            fit_pena_max_latg             fit_pena_spd                  
62b544a5                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
5e07a542                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
62acbcc1                      16.27240519288233             215.5269031049811             6.908265973390744             0.9052554381278954            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
52772f38                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
e78ff32                       16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
388a335d                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
36b0c0c8                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
24f05bca                      16.27240519288233             215.5269031049811             6.908265973390744             0.9052554381278954            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
1ca7beed                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
2feb0f74                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
7afb037                       16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
3daf3742                      16.27240519288233             215.5269031049811             6.908265973390744             0.9052554381278954            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
3a2e9acb                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
36dd3d57                      16.27240519288233             215.5269031049811             6.908265973390744             0.9052527959073637            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
6f38f900                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
2eaf4952                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
3802b223                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
1b8c1af1                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057180521730078            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
7fc664bf                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
1c760686                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057173033906473            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
4893c238                      16.27240519288233             215.5269031049811             6.908265973390744             0.9057032766978566            1224001.530612245             1000.5102040816327            1000.5102040816327            111000.51020408163            1111000.0                     
